Index	Label
Hมันฝรั่งแท่งแจ็กซ์พร้อมซอสมะเขือเทศ 55 ก.	239
เลย์แผ่นเรียบรสเมี่ยงคำครบรส50ก.	245
เจเล่เยลลี่แบล็คเคอแรน	73
นมเปรี้ยวพาสฯดัชมิลล์ สตรอฯขวด 160	64
อกไก่นุ่มกระเทียมพริกไทย ซีพี	47
สปาเก็ตตี้ขี้เมาไก่	46
แซนวิชเผือกLP	100
H FHโดราฯ ช็อกชิพ	137
ข้าวลาบหมูหมูย่าง	46
เต้าฮวยนมสด ศิวพร	140
ช็อกโกแลตไมโลบาร์ 15 ก.	139
เป๊ปซี่แคน 245  มล.	26
Hสแน็คแจ๊ครสดั้งเดิม 70 ก.	238
มินิคอกเทลแฮมเบคอน	40
กาแฟมอคโคน่าทรีโอ 3in1 เอสเปรสโซ่ แพ็ค 5 ซอง	29
บิ๊กเปาหมูแดง(สูตรหมูแดงย่าง)	55
สาคูถั่วดำมะพร้าวอ่อน7Fresh	141
ฟุตลองแฟรงค์เฟิร์ตไก่	54
ข้าวไก่ย่างถ่าน	46
แพนเบรดไส้เผือก(LP)	102
H FHโดราฯคัสตาร์ด	137
Hข้าวโพดอบกรอบทวิสโก้รสบาร์บีคิว 68 ก.	238
ซูชิโรลปูอัดไข่กุ้ง	44
กาแฟคาราบาว เอสเปรสโซ่ 180 มล.	0
ซันไบทส์รสออริจินัล 56 ก.	236
Hถั่วปากอ้าโก๋แก่อบเกลือ 40 ก.	240
ซูชิโรลยำสาหร่ายไข่กุ้ง	44
ไส้กรอกคอกเทลชีส	40
ขนมจีบปู	55
มินิคอกเทลบาร์บีคิว	40
น้ำแร่เซเว่นซีเล็ค 350 มล.	80
อีอีครีมซิสต้าร์วอเตอร์เมลอน (ซอง)	175
สไปรท์ไม่มีน้ำตาล 500มล.	22
ลูกอมคลอเร็ทออริจินอลมินต์ถุง 33.6 ก.	99
เบียร์ลีโอแคน 490ML แพ็ค2	214
แฮมโบโลน่าพริก	40
น้ำเต้าหู้โทฟุซัง 225 มล. สูตรหวานน้อย	57
ชิกเกนแฟรงค์	40
น้ำแร่เซเว่นซีเล็ค 500มล.	80
Hคอนเน่รสชีส 56 ก.	238
ผัดมักกะโรนีไก่	46
นมสดพาสฯโฟร์โมสต์ จืด ขวด 400 มล	74
สบู่วิตามินอีเบนเนท(ส้ม) ซีแอนด์อี(ด)	153
ข้าวต้มหมู	52
เค้กกล้วยหอมLP	102
ฟูจิชะรสเทสตี้500มล.	35
Hเค้กยูโร่ คัสตาร์ด (แพ็ค6)	225
มินิคอกเทลสไปซี่	40
ข้าวผัดน้ำพริกเผาหอยลาย	53
Hเทสโตแผ่นหยักกลิ่นปูผัดผงกะหรี่52ก.	247
Hไก่ย่างขนมทอดกรอบ 35ก.	253
แซนวิชครัวซองค์ไส้กรอกชีส	59
สก็อตต์เอ็กซ์ตร้า(เดี่ยว)ยาวพิเศษ	142
บุหรี่ iSCORE RED	85
เค้กโรลรสช็อกโกแลตLP	103
UHTโฟร์โมสต์พร่องมันเนย ด. 225	70
Hข้าวโพดอบกรอบตราอ๊ะห์17.5ก	216
สาคูเปียกข้าวโพด7Fresh	141
ขนมปังแพไส้ครีมLP	102
อเมริกาโน่ร้อนออโต้	62
บิวติดริ้งคอลลาสกิน(ชมพู)	23
ลอดช่องสิงคโปร์7Fresh	141
เครื่องดื่มสมุนไพรตราพญานาค	0
ข้าวหมูซีอิ๊ว+ไข่เจียว	46
Hถั่วลิสงกรอบโก๋แก่รสกะทิ 75 ก.	241
น้ำเต้าหู้โทฟุซัง ผสมเม็ดแมงลัก 225 มล.	57
ไก่ย่างบาร์บีคิว 7Fresh	49
แหนมแท่งเล็กห้วยแก้ว50G.	41
Hปาปริก้า 65 ก.	238
ชานมเย็นออโต้	65
ถั่วเหลืองUHTแลคตาซอย เจ ด. 300	67
น้ำแร่เพอร์ร่า 1500มล.	81
คาปูชิโน่ร้อนออโต้	62
ลิโพ  พลัส	0
น้ำแร่ออรา 1500 มล.	81
ลูกอมมายมินท์แท่ง 32 G	10
เม็ดอมคลอเร็ทออริจินอลมินต์ 35 เม็ด 14 ก.	3
